,country_code,country_name,continent,growth
0,ABW,Aruba,North America,18.363109465891046
1,AFG,Afghanistan,Asia,58.3037176097302
2,AGO,Angola,Africa,40.27228979375986
3,ALB,Albania,Europe,35.11571126388151
4,ARE,United Arab Emirates,Asia,46.6573982020095
5,ARG,Argentina,South America,24.392125859333657
6,ARM,Armenia,Asia,22.580703331570586
7,ATG,Antigua and Barbuda,North America,21.142797461660496
8,AUS,Australia,Oceania,23.746411112974116
9,AUT,Austria,Europe,24.206882408326997
10,AZE,Azerbaijan,Asia,25.718471708090924
11,BDI,Burundi,Africa,33.55102591221569
12,BEL,Belgium,Europe,21.39652010163671
13,BEN,Benin,Africa,39.16668429402429
14,BFA,Burkina Faso,Africa,39.74031729243782
15,BGD,Bangladesh,Asia,51.827297726070796
16,BGR,Bulgaria,Europe,6.797927280700594
17,BHR,Bahrain,Asia,39.394077207826555
18,BHS,"Bahamas, The",North America,17.377123215230025
19,BIH,Bosnia and Herzegovina,Europe,23.637757800105774
20,BLR,Belarus,Europe,2.8283739407462356
21,BLZ,Belize,North America,22.910512956107862
22,BMU,Bermuda,North America,24.603027540481623
23,BOL,Bolivia,South America,46.134849286091956
24,BRA,Brazil,South America,38.86204124801688
25,BRB,Barbados,North America,18.332575356954
26,BRN,Brunei Darussalam,Asia,27.37310417768376
27,BTN,Bhutan,Asia,68.5525859333685
28,BWA,Botswana,Africa,11.164627181385528
29,CAF,Central African Republic,Africa,14.026837652035962
30,CAN,Canada,North America,19.99331106267173
31,CHE,Switzerland,Europe,22.045074873276516
32,CHL,Chile,South America,40.29121099947113
33,CHN,China,Asia,50.67113696456903
34,CIV,Cote d'Ivoire,Africa,26.928614489687984
35,CMR,Cameroon,Africa,28.624838709677427
36,COD,"Congo, Dem. Rep.",Africa,33.35758328926491
37,COG,"Congo, Rep.",Africa,18.622009518773115
38,COL,Colombia,South America,31.57794288736115
39,COM,Comoros,Africa,41.30106821787412
40,CPV,Cabo Verde,Africa,46.02008989952401
41,CRI,Costa Rica,North America,31.531401374933875
42,CUB,Cuba,North America,22.04932839767318
43,CUW,Curacao,North America,28.6700643521086
44,CYP,Cyprus,Asia,29.549619249074528
45,CZE,Czechia,Europe,17.415478969702395
46,DEU,Germany,Europe,21.977300821606846
47,DJI,Djibouti,Africa,31.75158117398199
48,DNK,Denmark,Europe,14.996214417458784
49,DOM,Dominican Republic,North America,39.66171866737172
50,DZA,Algeria,Africa,69.35828133262812
51,ECU,Ecuador,South America,42.66304071919614
52,EGY,"Egypt, Arab Rep.",Africa,46.78930724484395
53,ERI,Eritrea,Africa,54.03229508196713
54,ESP,Spain,Europe,24.07831835007931
55,EST,Estonia,Europe,13.926336691129967
56,ETH,Ethiopia,Africa,43.66628239026963
57,FIN,Finland,Europe,23.713877029833217
58,FJI,Fiji,Oceania,15.016858804865151
59,FRA,France,Europe,23.42156040809481
60,FRO,Faroe Islands,Europe,20.226124871632123
61,FSM,"Micronesia, Fed. Sts.",Oceania,25.244902168164973
62,GAB,Gabon,Africa,29.35263881544154
63,GBR,United Kingdom,Europe,19.403767525247968
64,GEO,Georgia,Asia,19.12802749867792
65,GHA,Ghana,Africa,32.0052459016393
66,GIB,Gibraltar,Europe,25.096282390269653
67,GIN,Guinea,Africa,42.4405446853516
68,GMB,"Gambia, The",Africa,51.234320465362174
69,GNB,Guinea-Bissau,Africa,41.77744050766783
70,GNQ,Equatorial Guinea,Africa,40.87403490216807
71,GRC,Greece,Europe,19.759869600546825
72,GRD,Grenada,North America,21.64041776837652
73,GRL,Greenland,North America,23.869477941230528
74,GTM,Guatemala,North America,49.73650978318343
75,GUM,Guam,Oceania,28.765081967213057
76,GUY,Guyana,South America,16.61282390269698
77,HKG,"Hong Kong SAR, China",Asia,30.854641756200746
78,HND,Honduras,North America,41.69567424643041
79,HRV,Croatia,Europe,19.200403064580634
80,HTI,Haiti,North America,34.76806980433631
81,HUN,Hungary,Europe,12.535811481858868
82,IDN,Indonesia,Asia,40.475182443151716
83,IMN,Isle of Man,Europe,31.082316234796348
84,IND,India,Asia,46.12135378106815
85,IRL,Ireland,Europe,22.3158611394152
86,IRN,"Iran, Islamic Rep.",Asia,56.52953463775772
87,IRQ,Iraq,Asia,22.858625066102594
88,ISL,Iceland,Europe,17.899112613019234
89,ISR,Israel,Asia,23.22800303230252
90,ITA,Italy,Europe,25.38483832273537
91,JAM,Jamaica,North America,12.737911158117399
92,JOR,Jordan,Asia,34.45432046536224
93,JPN,Japan,Asia,26.32284505552618
94,KAZ,Kazakhstan,Asia,20.410628651765034
95,KEN,Kenya,Africa,15.364785827604436
96,KGZ,Kyrgyz Republic,Asia,28.746694225535546
97,KHM,Cambodia,Asia,62.34037017451076
98,KIR,Kiribati,Oceania,30.205996827075598
99,KOR,"Korea, Rep.",Asia,47.11837548851426
100,KWT,Kuwait,Asia,32.9923215230037
101,LAO,Lao PDR,Asia,49.40105764145948
102,LBN,Lebanon,Asia,34.50423056583811
103,LBR,Liberia,Africa,41.50974087784235
104,LBY,Libya,Africa,45.086345848757254
105,LCA,St. Lucia,North America,23.749005817028046
106,LIE,Liechtenstein,Europe,25.5676166651782
107,LKA,Sri Lanka,Asia,21.76269698572185
108,LSO,Lesotho,Africa,-6.623426758328888
109,LTU,Lithuania,Europe,6.260061136835649
110,LUX,Luxembourg,Europe,26.176863706130415
111,LVA,Latvia,Europe,7.674152274574039
112,MAC,"Macao SAR, China",Asia,34.39493918561606
113,MAF,St. Martin (French part),North America,19.83314648334213
114,MAR,Morocco,Africa,54.59512956107877
115,MDA,Moldova,Europe,13.059307244843996
116,MDG,Madagascar,Africa,38.527794817556796
117,MDV,Maldives,Asia,76.60795875198298
118,MEX,Mexico,North America,33.204077207826494
119,MKD,North Macedonia,Europe,28.74302962685894
120,MLI,Mali,Africa,54.89814383923842
121,MLT,Malta,Europe,26.925164643819837
122,MMR,Myanmar,Asia,33.91606557377048
123,MNE,Montenegro,Europe,16.006356167210544
124,MNG,Mongolia,Asia,39.109947117927
125,MOZ,Mozambique,Africa,33.14223162347959
126,MRT,Mauritania,Africa,32.087990481226846
127,MUS,Mauritius,Africa,31.136064026002476
128,MWI,Malawi,Africa,45.01234267583283
129,MYS,Malaysia,Asia,29.019175039661537
130,NAM,Namibia,Africa,11.237355896351163
131,NCL,New Caledonia,Oceania,34.921112587223156
132,NER,Niger,Africa,50.0105129561078
133,NGA,Nigeria,Africa,24.34580645161287
134,NIC,Nicaragua,North America,46.101544156530885
135,NLD,Netherlands,Europe,15.59476596458188
136,NOR,Norway,Europe,16.827639266873874
137,NPL,Nepal,Asia,58.52304600740342
138,NZL,New Zealand,Oceania,21.4738117656163
139,OMN,Oman,Asia,69.86951877313585
140,PAK,Pakistan,Asia,30.308085668958217
141,PAN,Panama,North America,27.27450555261764
142,PER,Peru,South America,46.3152564780539
143,PHL,Philippines,Asia,23.147927022739264
144,PNG,Papua New Guinea,Oceania,29.42318878900052
145,POL,Poland,Europe,16.035701848292934
146,PRI,Puerto Rico,North America,17.49283976731884
147,PRK,"Korea, Dem. People's Rep.",Asia,24.66612374405073
148,PRT,Portugal,Europe,30.553479253459926
149,PRY,Paraguay,South America,22.94748281332626
150,PSE,West Bank and Gaza,Asia,22.90528225806419
151,PYF,French Polynesia,Oceania,44.67123215230032
152,QAT,Qatar,Asia,31.66572184029612
153,ROU,Romania,Europe,13.640068359752869
154,RUS,Russian Federation,Europe,3.738093020856159
155,RWA,Rwanda,Africa,31.321369645690034
156,SAU,Saudi Arabia,Asia,54.85117398202005
157,SDN,Sudan,Africa,32.73804865150712
158,SEN,Senegal,Africa,52.92941300898989
159,SGP,Singapore,Asia,30.73407927151719
160,SLB,Solomon Islands,Oceania,33.567509254362754
161,SLE,Sierra Leone,Africa,36.92637228979373
162,SLV,El Salvador,North America,48.262638815441505
163,SOM,Somalia,Africa,18.938662083553666
164,SRB,Serbia,Europe,17.920587271393824
165,SSD,South Sudan,Africa,50.752374405076615
166,STP,Sao Tome and Principe,Africa,30.70075092543627
167,SUR,Suriname,South America,22.856060285563178
168,SVK,Slovak Republic,Europe,12.487451084082482
169,SVN,Slovenia,Europe,23.874579200577823
170,SWE,Sweden,Europe,17.139094039803414
171,SWZ,Eswatini,Africa,1.1275832892649889
172,SYC,Seychelles,Africa,15.1841590889778
173,SYR,Syrian Arab Republic,Asia,25.421549444738233
174,TCA,Turks and Caicos Islands,North America,36.300163934426216
175,TCD,Chad,Africa,23.78374405076677
176,TGO,Togo,Africa,28.338857747223674
177,THA,Thailand,Asia,45.63885245901636
178,TJK,Tajikistan,Asia,26.434156530935994
179,TKM,Turkmenistan,Asia,25.217562136435728
180,TON,Tonga,Oceania,19.1058276044421
181,TTO,Trinidad and Tobago,North America,18.42649920676889
182,TUN,Tunisia,Africa,53.390957165520824
183,TUR,Turkiye,Asia,44.93863035430985
184,TUV,Tuvalu,Oceania,24.71363299841354
185,TZA,Tanzania,Africa,35.004346906398695
186,UGA,Uganda,Africa,24.982908514013726
187,UKR,Ukraine,Europe,1.682882330938577
188,URY,Uruguay,South America,19.072940243257523
189,USA,United States,North America,16.523906566405696
190,UZB,Uzbekistan,Asia,21.035050237969312
191,VCT,St. Vincent and the Grenadines,North America,19.362448439978884
192,VEN,"Venezuela, RB",South America,21.27433632998413
193,VGB,British Virgin Islands,North America,23.476578529878367
194,VIR,Virgin Islands (U.S.),North America,29.396766454708377
195,VNM,Vietnam,Asia,33.53523532522468
196,VUT,Vanuatu,Oceania,35.40238498149127
197,WSM,Samoa,Oceania,30.224071919619234
198,YEM,"Yemen, Rep.",Asia,61.40176626123737
199,ZAF,South Africa,Africa,12.480454785827613
200,ZMB,Zambia,Africa,11.295055526176617
201,ZWE,Zimbabwe,Africa,-6.654019037546228
